blog_legacy_id;image_legacy_id;type;position;
"9";"156";"1";"1";
"42";"111";"1";"1";
"43";"114";"1";"1";
"44";"112";"1";"1";
"46";"115";"1";"1";
"47";"120";"1";"1";
"49";"124";"2";"1";
"49";"121";"1";"1";
"49";"125";"2";"2";
"49";"126";"2";"3";
"49";"127";"2";"4";
"49";"128";"2";"5";
"49";"129";"2";"6";
"50";"133";"1";"1";
"51";"134";"1";"1";
"52";"138";"1";"1";
"54";"139";"1";"1";
"55";"140";"1";"1";
"56";"142";"1";"1";
"57";"144";"1";"1";
"58";"145";"1";"1";
"59";"146";"1";"1";
"61";"148";"1";"1";
"62";"149";"1";"1";
"63";"150";"1";"1";
"64";"152";"1";"1";
"65";"154";"1";"1";
"66";"155";"1";"1";
"67";"157";"1";"1";
"68";"160";"1";"1";
"69";"159";"1";"1";
"70";"161";"1";"1";
"71";"162";"1";"1";
"72";"163";"1";"1";
"73";"164";"2";"1";
"73";"165";"1";"1";
"74";"167";"1";"1";
"75";"168";"1";"1";
"76";"169";"1";"1";
"77";"170";"1";"1";
"78";"172";"1";"1";
"79";"173";"1";"1";
"80";"174";"1";"1";
