id;parent_id;name;description;slug;link_rewrite;active;position;meta_title;meta_desc;
"3";"2";"Каталог товарів";"Наші рослини сміливо висаджуйте в будь-яку пору року, і навіть влітку!

Розсадник «Зелені Янголи» пропонує широкий асортимент рослин власного виробництва. Всі наші рослини адаптовані до українських кліматичних умов та високої якості.
Купуйте рослини з доставкою в будь-яку точку України!  Спеціальна упаковка, якість якої підтверджено тисячами успішно доставлених рослин дозволяє пересилати рослини навіть влітку.
Наша технологія вирощування рослин забезпечує швидку адаптацію на новому місці  та уникнення стресу при пересадці !

Дізнатись більше     Інструкція по пересадці

Вітаємо всіх любителів рослин!";"3-roslyny";"roslyny";"1";"0";"Каталог товарів та рослин";"Каталог товарів та рослин розсадника "Зелені Янголи"  власного виробництва в Ужгороді з доставкою по Україні по низькій ціні";
"42";"3";"Хвойні дерева та кущі";"Хвойні рослини мають велику цінність для ландшафтного дизайну – їх вічнозелена хвоя завдяки мутаціям і селективному виведенню набуває різноманітних відтінків – від зелено-блакитного до золотисто-жовтого. Хвойні використовуються як окремі рослини, у формуванні живих загорож, карликові види чагарників також використовуються як грунтоукривні рослини. Більшість видів декоративних хвойних рослин добре гармонують як з зеленим газоном так і з кам’янистими елементами дизайну, а також з штучними та природними водоймами.
Розсадник «Зелені янголи» пропонує широкий асортимент хвойних рослин як у контейнерах так і викопні з грунту рослини, які завдяки сучасній технології пакування можуть пересаджуватися не тільки навесні і восени, а і у літній період за умови швидкої доставки. Весь асортимент саджанців і повномірів хвойної продукції нашого виробництва за найнижчими цінами може бути доставлений в будь-яку точку України!";"42-conifers";"conifers";"1";"0";"Хвойні дерева та кущі";"Хвойні дерева та кущі: туї, ялівці, кипарисовики, ялини, ялиці, модрини, сони. Листопадні та вічнозелені.";
"1353";"42";"Араукарія (Araucaria)";"";"1353-araucaria";"araucaria";"1";"0";"Араукарія (Araucaria)";"Араукарія (Araucaria)";
"332";"42";"Гінкго дволопатеве (Ginkgo biloba)";"Гінкго білоба — реліктова рослина, яку часто називають живою копалиною. Це єдиний сучасний представник класу Гінкгові (Ginkgoopsida), єдиного в відділі Гінкгоподібних. Листопадне, двудомне дерево, що досягає 30-45 м заввишки, зі струнким коричнево-сірим стовбуром. ";"332-ginkgo-dvolopateve-ginkgo-biloba";"ginkgo-dvolopateve-ginkgo-biloba";"1";"1";"Гінкго дволопатеве, Ginkgo biloba,  Гінкго білоба";"Гінкго дволопатеве, гінкго білоба. Купити саджанці та повноміри за низькою ціною в Ужгороді з доставкою у Київ, Харків, Львів, Луцьк, Івано-Франківськ, Житомир, Вінниця, Полтава, Чернігів, Харків, Запоріжжя, Одесу, Херсон, Дніпро, Хмельницький...";
"1259";"42";"Подокарпус (Podocarpus)";"";"1259-podocarpus";"podocarpus";"0";"2";"Подокарпус (Podocarpus)";"Подокарпус, подокарп  (Podocarpus)";
"281";"42";"Кедр (Cedrus ) ";"Кедр – рід вічнозелених однодомних хвойних дерев з родини соснових. Розповсюджене в природі в південних гірських районах Середземномор’я і в західних районах Гімалаїв. Морозостійкість цього роду дерев близько -25°С. Завдяки своїй декоративності кедри цінні для паркових насаджень, як групових так і одиночних. Особливо ціняться кедри з голубим відтінком хвої. Хвоя кедрів голковидна, жорстка і колюча, зібрана в пучках по 30-40 голок. 
Через помилки під назвою кедр відомо ще кілька видів хвойних дерев, серед них «сибірський кедр» - сосна сибірська, «канадський червоний кедр»-туя складчаста, «канадський білий кедр» - туя західна, «східний червоний кедр» - ялівець віргінський, «аляскинський жовтий кедр» - кипарис нутканський, «іспанський кедр» - взагалі покритонасінне дерево цедрела духм’яна. 
Також цікавим є факт, що насіння справжніх кедрів є неїстівним, його не їдять навіть гризуни через високу кількість смол. Також недавні дослідження довели, що кедри є більш давніми і базальними ніж сосни, проте незважаючи на цей факт кедри і сосни є дуже спорідненими рослинами.
";"281-kedr-cedrus";"kedr-cedrus";"1";"3";"Кедр (Cedrus)";"Кедр (Cedrus)";
"299";"42";"Кипарис (Cupressus)";"Опис кипариса
Кипарис це рід вічнозелених дерев з колоновидною кроною з родини кипарисових. Усі відомі види кипариса мають дуже давню історію і походять з початку кайнозойської ери. В теперішній час кипариси поширені у тропічних і субтропічних поясах північної півкулі – в північній Америці, Африці, Європі, Азії.
Кипарис у ландшафтному дизайні
Кипарис широко використовується у ландшафтному дизайні для формування живоплотів, для цього добре підходить кипарис вічнозелений. В південних районах вічнозелений кипарис часто використовується для озеленення кладовищ через темно-зелений похмурий відтінок його хвої.
Особливості вирощування кипариса

Кипарис погано переносить морози, відрізняється стійкістю до перезволоження грунту, сонцелюбивий, але для молодих кипарисів краще підійде затінок. В молодому віці для хорошого росту добре підживлювати кипарис комплексними добривами для хвойних або універсальними добривами.
Купити саджанці кипариса 
в Ужгороді або з доставкою по Україні в  Одесу, Херсон, Дніпро, Запоріжжя та інші міста";"299-kiparis-cupressus";"kiparis-cupressus";"1";"4";"Кипарис (Cupressus)";"Кипарис (Cupressus) хвойне вічнозелене дерево";
"160";"42";"Кипарисовик (Chamaecyparis)";"Кипарисовик –  хвойне дерево, нагадує тую. Кипарисовики дуже різноманітні за кольором – є різновиди з голубою хвоєю, різних відтінків зеленого і аж до жовтого. В залежності від сорту гілки кипарисовика можуть мати різну форму. Для висаджування кипарисовика слід обирати добре освітлені місця, хоча він переносить і легке затінення. Необхідною умовою швидкого росту є родючий грунт та невисокий рівень грунтових вод.
Купити кипарисовик
В розсаднику ландшафт центру «Зелені Янголи» ви можете купити як невеличкі саджанці в контейнерах, так і більш дорослі рослини повноміри з грунту, котрі завдяки нашій технології пакування можуть бути доставлені по Україні і гарантовано приживуться на новому місці.
Обираючи продукцію ландшафт центру «Зелені Янголи» ви гарантовано отримаєте найкращі ціни, якісний сервіс та доставку по Україні в найкоротший термін.
Ви можете купити саджанці та повноміри кипарисовика за найнижчою ціною в Ужгороді або замовити з доставкою у Київ, Харків, Львів, Луцьк, Івано-Франківськ, Житомир, Вінниця, Полтава, Чернігів, Харків, Запоріжжя, Одесу, Херсон, Дніпро, Хмельницький та інші міста.";"160-kiparisovik";"kiparisovik";"1";"5";"Кипарисовики (Chamaecyparis)";"Кипарисовики-дерево з колонивидною кроною. Купити саджанці та повноміри за низькою ціною в Ужгороді з доставкою у Київ, Харків, Львів, Луцьк, Івано-Франківськ, Житомир, Вінниця, Полтава, Чернігів, Харків, Запоріжжя, Одесу, Херсон, Дніпро, Хмельницький...";
"257";"42";"Криптомерія (Cryptomeria)";"Криптомерія – рід хвойних вічнозелених дерев родини кипарисових. Єдиним представником роду є криптомерія японська (заст. японський кедр). Є національним деревом Японії. Рослина є ендеміком Японії і Китаю де утворює в горах чисті насадження. Вирощується в садах і парках в районах достатньо теплих (морозостійкість – зона 6  -18-22⁰С). Дерево з конічною кроною і струнким стовбуром, сягає у висоту до 40 метрів. Найстаріше відоме дерево має вік близько 3000 років. Хвоя блідо-зелена, розміщена в 5 рядів спірально. Декоративні садові форми використовуються для створення живих загорож, паркового озеленення а також для створення бонсай. Рослина теплолюбива, потребує добре зволожені але гарно дреновані і кислі грунти. Під час посух обсипається хвоя. Взимку потребує вологого повітря.";"257-cryptomeria";"cryptomeria";"1";"6";"Криптомерія (Cryptomeria)";"Криптомерія (Cryptomeria) Криптомерія – рід хвойних вічнозелених дерев родини кипарисових.";
"365";"42";"Кунінгамія (Cunninghamia)";"";"365-cunninghamia";"cunninghamia";"0";"7";"Кунінгамія (Cunninghamia)";"Кунінгамія (Cunninghamia)";
