id;parent_id;name;description;active;position;
"3";"2";"Каталог товарів";"Наші рослини сміливо висаджуйте в будь-яку пору року, і навіть влітку!

Розсадник «Зелені Янголи» пропонує широкий асортимент рослин власного виробництва. Всі наші рослини адаптовані до українських кліматичних умов та високої якості.
Купуйте рослини з доставкою в будь-яку точку України!  Спеціальна упаковка, якість якої підтверджено тисячами успішно доставлених рослин дозволяє пересилати рослини навіть влітку.
Наша технологія вирощування рослин забезпечує швидку адаптацію на новому місці  та уникнення стресу при пересадці !

Дізнатись більше     Інструкція по пересадці

Вітаємо всіх любителів рослин!";"1";"0";
"357";"2";"Знижки та акції";"";"1";"1";
"285";"2";"Імпорт";"Найкращі імпортовані рослини високої якості за найнижчими цінами ви можете придбати в м. Ужгороді (вул. Оноківська - Об'їздна) або з доставкою в будь-яку точку України";"1";"2";
"42";"3";"Хвойні дерева та кущі";"Хвойні рослини мають велику цінність для ландшафтного дизайну – їх вічнозелена хвоя завдяки мутаціям і селективному виведенню набуває різноманітних відтінків – від зелено-блакитного до золотисто-жовтого. Хвойні використовуються як окремі рослини, у формуванні живих загорож, карликові види чагарників також використовуються як грунтоукривні рослини. Більшість видів декоративних хвойних рослин добре гармонують як з зеленим газоном так і з кам’янистими елементами дизайну, а також з штучними та природними водоймами.
Розсадник «Зелені янголи» пропонує широкий асортимент хвойних рослин як у контейнерах так і викопні з грунту рослини, які завдяки сучасній технології пакування можуть пересаджуватися не тільки навесні і восени, а і у літній період за умови швидкої доставки. Весь асортимент саджанців і повномірів хвойної продукції нашого виробництва за найнижчими цінами може бути доставлений в будь-яку точку України!";"1";"0";
"55";"3";"Листяні дерева";"Широкий асортимент листяних дерев екзотичних порід, що стануть справжними домінантами ваших парків та ландшафтних композицій, насадки алей. Високі декоративні якості наших елітних видів дерев з нашомого розсаднику гарантуються. Ми доставляємо елітні дерева для ландшафтного дизайну, парків, алей за низькими цінами в Ужгороді та по Україні (Київ, Львів, Харків, Херсон, Дніпро, Запоріжжя, Одеса та ін).

 Глід (Crataegus) 
";"1";"1";
"53";"3";"Листяні кущі";"Листяні декоративні рослини об'єднують собою велику кількість гарних дерев та кущів, котрі як правило скидають листя взимку. Багато з них мають високі естетичні якості кори стовбурів, цікаві кольорові відтінки листя, мають гарний цвіт, у деяких є декоративні плоди, що довго тримаються.
Ви можете купити високоякісні адаптовані листяні декоративні рослини з доставкою по Україні у нашому інтернет магазині. Доставка здійснюється у Київ, Львів, Харків, Дніпро, Запоріжжя, Херсон, Одесу, Луцьк, Івано-Франківськ, Чернівці, Хмельницький та інші населені пункти службою поштової доставки.

 ";"1";"2";
"11";"3";"Ліани";"Ліани класифікація і опис
Рослини, що в’ються або ліани – вони можуть бути дерев’янисті, мати опадаюче чи вічнозелене листя, можуть бути трав’янистими, а також або багаторічні або однорічні.
Дерев’янисті ліани щороку починають квітнути навесні фактично з того місця де були, а трав’янисті на зиму відмирають і заново ростуть від коренів.
Ліани не мають можливості самі рости без опори, знаходять її завдяки вусикам чи придаточним кореням. Стебла ліан гнучкі і видовжені, їм характерний досить швидкий ріст. Завдяки цьому ліани піднімаються високо вверх і там розпускаються листя і квіти.
Використання ліан у ландшафтному дизайні
За допомогою ліан можна прикрасити будь-яку ландшафтно-архітектурну форму. Ліани можна використати для прикрашення паркану, альтанок, стін. Для них можна збудувати спеціальні опори і зробити чудовий затінок.
Доставка і покупка ліан
У розпліднику рослин ландшафт-центру «Зелені Янголи» в м. Ужгород можна придбати декоративні ліани за найкращою низькою ціною і також можлива доставка у всі регіони України службою доставки.
У нашому інтернет магазині Ви можете купити ліани - однорічні та багаторічні садові ліани з доставкою по Україні.
  ";"1";"3";
"248";"3";"Верескові рослини";"Вересові рослини це вічнозелені чагарники, дерева, ліани. У нас ви можете придбати широкий асортимент саджанців і повномірів декоративних представників родини вересових. Це і азалії (рододендрони), еріка, верес звичайний. В ландшафтному дизайні вересові добре комбінуються з хвойними рослинами і можуть використовуватися для контрастних композицій, кам'янистих ладшафтах, японських садках, затінених куточках. Вересові рослини добре виглядають у групових посадках.
Ми продаємо і доставляємо саджанці вересових в усі міста України (Харків, Київ, Полтаву, Львів, Луцьк, Хмельницький, Івано-Франківськ, Чернівці, Вінницю, Чернігів, Дніпро, Запоріжжя, Херсон, Одесу) або ви можете їх купити прямо у нас в розпліднику в Ужгороді.";"1";"4";
"48";"3";"Багаторічники, трави";"Багаторічні квітучі рослини і трави дозволяють створювати контрастні композиції у ландшафтному дизайні, робити більш цікавими скельні гірки, клумби та ін. Розплідник декоративних рослин "Зелені янголи" пропонує багаторічники і трави в асортименті за низькими цінами в місті Ужгород та з доставкою по Україні";"1";"5";
"65";"3";"Квіти і гарноквітнучі";"Квіти і гарноквітнучі рослини використовуються в ландшафтному дизайні для оформлення клумб, бордюрів, скелястих гірок, водойм та ін. Широкий асортимент адаптованих квітів власного виробництва з розсадника ландшафт центру "Зелені Янголи" в Ужгороді та з доставкою по Україні. Ми гарантуємо високу якість наших рослин.









 






";"1";"6";
"41";"3";"Альпійські, грунтопокривні";"Альпійські та грунтопокривні рослини використовуються для створення контрасту з газонами в різномінітних ландшафтних композиціях, роблять ділянку більш цікавою і яскравою. В сезон цвітіння гарний яскравий цвіт радує очі, а квіткові аромати наповнюють повітря. Широкий асортимент з нашого розсадника ландшафт центру "Зелені Янголи" в місті Ужгород за низькими цінами та з доставкою по всій Україні.


";"1";"7";
"44";"3";"Плодові та ягоди";"Плодові та ягідні рослини за найнижчими цінами в Ужгороді та з доствкою по Україні";"1";"8";
"297";"3";"Вкорінені живці";"
Рекомендуємо мульти-касети з вкоріненими живцями для людей з професійним досвідом дорощування, або для тих, хто хоче спробувати поекспериментувати, оскільки за вкорінені живці потребують особливих умов: постійний догляд, пересадка у більший контейнер, щоденний полив і т. д. 
Увага! 

Вкорінені живці не підходять для висадки у відкритий грунт. Краще обрати саджанці в більшому розмірі - горщик Р9 (0,5л) наприклад.
Не всі живці в мульти-касеті можуть мати корінь, для мульти-касет вважається нормою до 10% відпаду живців.

";"1";"9";
"331";"3";"Пряні трави ";"Пряні трави - багаторічні трави з вираженим ароматом - для кулінарії, приготування напоїв та десертів.";"1";"10";
"1328";"3";"Рослини на штамбі";"Рослини на штамбі – купити штамбові дерева та кущі в Україні
Рослини на штамбі – це декоративні дерева та кущі, сформовані на високому стовбурі, які додають вишуканості та структури вашому саду. Вони ідеально підходять для озеленення прибудинкових територій, парків, алей та клумб.
Переваги штамбових рослин
✅ Естетика – надають саду доглянутий вигляд.✅ Компактність – займають мало місця, що важливо для невеликих ділянок.✅ Універсальність – підходять для посадки в відкритий ґрунт та контейнерне вирощування.✅ Різноманітність – вибір серед декоративних та плодових рослин.
Популярні види штамбових рослин
Штамбові хвойні та листяні дереваПлодові дереваДекоративні кущі
Як вибрати рослину на штамбі?
Визначте розмір штамбу – низький (40-60 см) або високий (100-150 см).Врахуйте морозостійкість для вашого регіону.Підбирайте відповідний догляд – регулярна обрізка підтримує гарну форму.
Де купити штамбові рослини?
У нашому інтернет-магазині Landshaft.info ви знайдете великий вибір штамбових рослин гарної якості та з доставкою по всій Україні. 
Замовляйте рослини на штамбі онлайн та створюйте унікальний ландшафт у своєму саду!";"1";"11";
"398";"3";"Топіари (Стрижені Форми)";"";"1";"12";
"402";"3";"Набори рослин";"";"1";"13";
"369";"3";"Насіння декоративних рослин";"";"1";"14";
