id_product;id_image;position;cover;
"1";"1358";"1";"";
"1";"1359";"2";"";
"1";"1360";"3";"";
"1";"4305";"4";"";
"1";"20308";"5";"1";
"3";"160";"1";"";
"3";"6109";"2";"";
"3";"10047";"3";"";
"3";"10320";"4";"1";
"3";"10321";"5";"";
"3";"10322";"6";"";
"3";"10323";"7";"";
"3";"10327";"8";"";
"3";"10324";"9";"";
"3";"10325";"10";"";
"3";"10326";"11";"";
"3";"10520";"12";"";
"3";"10521";"13";"";
"5";"168";"1";"";
"5";"169";"2";"1";
"5";"170";"3";"";
"5";"171";"4";"";
"5";"172";"5";"";
"5";"173";"6";"";
"5";"174";"7";"";
"5";"175";"8";"";
"7";"5071";"1";"";
"7";"5818";"2";"";
"7";"5820";"3";"";
"7";"5819";"4";"";
"7";"4961";"5";"";
"7";"5821";"6";"";
"7";"5966";"7";"";
"7";"5857";"8";"";
"7";"5973";"9";"";
"7";"5965";"10";"";
"7";"5972";"11";"";
"7";"4957";"12";"";
"7";"4960";"13";"";
"7";"663";"14";"";
"7";"5858";"15";"";
"7";"4959";"16";"";
"7";"5975";"17";"";
"7";"5967";"18";"1";
"7";"5974";"19";"";
"7";"5978";"20";"";
"7";"8400";"21";"";
"7";"8401";"22";"";
"7";"8402";"23";"";
"7";"8403";"24";"";
"7";"8764";"25";"";
"7";"11421";"26";"";
"7";"11422";"27";"";
"7";"11423";"28";"";
"7";"11424";"29";"";
"7";"11425";"30";"";
"7";"11426";"31";"";
"7";"11427";"32";"";
"7";"11428";"33";"";
"8";"10343";"1";"1";
"8";"10345";"2";"";
"8";"10344";"3";"";
"8";"10348";"4";"";
"8";"10349";"5";"";
"9";"3733";"1";"1";
"9";"1489";"2";"";
"9";"3735";"3";"";
"9";"3732";"4";"";
"9";"1488";"5";"";
"9";"1490";"6";"";
"10";"186";"1";"";
"10";"189";"2";"";
"10";"2507";"3";"";
"10";"188";"4";"";
"10";"190";"5";"";
"10";"2620";"6";"";
"10";"3143";"7";"1";
"11";"191";"1";"";
"11";"1760";"2";"";
"11";"1761";"3";"";
"11";"1762";"4";"";
"11";"10378";"5";"";
"11";"11347";"6";"1";
"11";"12748";"7";"";
"13";"209";"1";"";
"13";"4799";"2";"";
"13";"4800";"3";"";
"13";"4801";"4";"";
"13";"4802";"5";"";
"13";"4803";"6";"1";
"14";"4409";"1";"";
"14";"4410";"2";"";
"14";"7881";"3";"";
"14";"7882";"4";"";
"14";"7883";"5";"";
"14";"8679";"6";"";
"14";"8680";"7";"";
"14";"8681";"8";"1";
"14";"8682";"9";"";
"14";"8683";"10";"";
"14";"8684";"11";"";
"14";"8685";"12";"";
"14";"8686";"13";"";
"14";"8687";"14";"";
"14";"8688";"15";"";
"14";"8727";"16";"";
"14";"8728";"17";"";
"15";"3940";"1";"";
"15";"215";"2";"";
"15";"217";"3";"";
"15";"17765";"4";"";
"15";"17766";"5";"";
"15";"17767";"6";"";
"15";"17768";"7";"1";
"16";"3071";"1";"";
"16";"4189";"2";"";
"16";"7422";"3";"";
"16";"7423";"4";"1";
"16";"9464";"5";"";
"16";"9465";"6";"";
"16";"9466";"7";"";
"18";"227";"1";"";
"18";"228";"2";"";
"18";"10489";"3";"1";
"18";"10490";"4";"";
"18";"11370";"5";"";
"18";"11517";"6";"";
"19";"6071";"1";"";
"19";"6070";"2";"";
"19";"6069";"3";"";
"19";"2059";"4";"";
"19";"6072";"5";"";
"19";"229";"6";"";
"19";"5647";"7";"";
"19";"5648";"8";"";
"19";"6067";"9";"";
"19";"6068";"10";"";
"19";"2801";"11";"";
"19";"2089";"12";"";
"19";"2088";"13";"";
"19";"6073";"14";"";
"19";"7020";"15";"";
"19";"7021";"16";"";
"19";"7022";"17";"1";
"19";"14415";"18";"";
"21";"3131";"1";"";
"21";"9290";"2";"";
"21";"13006";"3";"";
"21";"13007";"4";"1";
"21";"13008";"5";"";
"23";"2237";"1";"1";
"23";"2234";"2";"";
"23";"1758";"3";"";
"23";"2236";"4";"";
"23";"1759";"5";"";
"23";"3132";"6";"";
"23";"3305";"7";"";
"25";"3960";"1";"";
"25";"2056";"2";"";
"25";"4805";"3";"1";
"25";"4806";"4";"";
"25";"4808";"5";"";
"25";"4809";"6";"";
"25";"4810";"7";"";
"25";"4811";"8";"";
"25";"5435";"9";"";
"25";"5436";"10";"";
"25";"5610";"11";"";
"25";"5900";"12";"";
"25";"5901";"13";"";
"25";"5903";"14";"";
"25";"5909";"15";"";
"25";"5910";"16";"";
"25";"5911";"17";"";
"25";"5912";"18";"";
"25";"5904";"19";"";
"25";"5906";"20";"";
"25";"5907";"21";"";
"25";"5908";"22";"";
"25";"10076";"23";"";
"25";"10077";"24";"";
"25";"10079";"25";"";
"25";"10078";"26";"";
"26";"1564";"1";"";
"26";"2051";"2";"";
"26";"2052";"3";"";
"26";"2053";"4";"";
"26";"2054";"5";"1";
"26";"8903";"6";"";
"26";"8904";"7";"";
"27";"2849";"1";"";
"27";"5855";"2";"";
"27";"6018";"3";"";
"27";"6019";"4";"";
"27";"6020";"5";"";
"27";"6023";"6";"1";
"27";"6027";"7";"";
"27";"6025";"8";"";
"27";"6030";"9";"";
"27";"6021";"10";"";
"27";"1829";"11";"";
"27";"6032";"12";"";
"27";"1830";"13";"";
"27";"6022";"14";"";
"27";"6024";"15";"";
"27";"6028";"16";"";
"27";"6029";"17";"";
"27";"6031";"18";"";
"27";"6033";"19";"";
"27";"6034";"20";"";
"27";"6083";"21";"";
"27";"8713";"22";"";
"27";"9056";"23";"";
"27";"9057";"24";"";
"27";"9298";"25";"";
"28";"3711";"1";"1";
"28";"263";"2";"";
"28";"264";"3";"";
"30";"269";"1";"";
"30";"270";"2";"";
"30";"12829";"3";"";
"30";"14421";"4";"1";
"31";"4444";"1";"";
"31";"4445";"2";"";
"31";"5131";"3";"";
"31";"5132";"4";"";
"31";"5133";"5";"";
"31";"6857";"6";"";
"31";"8416";"7";"";
"31";"8417";"8";"1";
"31";"8418";"9";"";
"31";"8419";"10";"";
"31";"14739";"11";"";
"33";"4490";"1";"";
"33";"4491";"2";"";
"33";"4492";"3";"";
"33";"6858";"4";"";
"33";"6859";"5";"";
"33";"6860";"6";"";
"33";"6861";"7";"";
"33";"6883";"8";"";
"33";"6884";"9";"";
"33";"6885";"10";"";
"33";"6886";"11";"";
"33";"6887";"12";"";
"33";"6888";"13";"";
"33";"6889";"14";"";
"33";"6890";"15";"";
"33";"6891";"16";"";
"33";"6892";"17";"";
"33";"9226";"18";"";
"33";"11461";"19";"";
"33";"14805";"20";"1";
"37";"7257";"1";"";
"37";"7258";"2";"";
"37";"7259";"3";"";
"37";"7260";"4";"";
"37";"7261";"5";"";
"37";"7263";"6";"";
"37";"7266";"7";"";
"37";"7267";"8";"";
"37";"7268";"9";"";
"37";"7269";"10";"";
"37";"7270";"11";"";
"37";"12139";"12";"1";
"39";"2777";"1";"1";
"39";"2778";"2";"";
"41";"3563";"1";"";
"41";"1655";"2";"";
"41";"5521";"3";"";
"41";"10175";"4";"1";
"41";"10176";"5";"";
"41";"10177";"6";"";
"41";"10178";"7";"";
"41";"12819";"8";"";
"45";"318";"1";"";
"45";"319";"2";"";
"45";"320";"3";"1";
"45";"321";"4";"";
"45";"1481";"5";"";
"45";"1568";"6";"";
"45";"6535";"7";"";
"45";"6536";"8";"";
"46";"322";"1";"";
"46";"323";"2";"";
"46";"324";"3";"";
"46";"4463";"4";"";
"46";"14679";"5";"";
"46";"14680";"6";"";
"46";"14681";"7";"1";
"48";"2825";"1";"";
"48";"2826";"2";"";
"48";"2852";"3";"";
"48";"2827";"4";"";
"48";"8739";"5";"";
"48";"9425";"6";"";
"48";"12997";"7";"1";
"49";"3454";"1";"";
"49";"3453";"2";"";
"49";"14380";"3";"";
