id_product;id_feature;id_feature_value;
"1";"1";"18861";
"1";"49";"146";
"1";"54";"177";
"1";"77";"2430";
"1";"80";"2444";
"1";"81";"2429";
"1";"85";"2466";
"1";"99";"63278";
"1";"100";"63279";
"1";"101";"18517";
"1";"102";"18522";
"3";"1";"183";
"3";"8";"25";
"3";"9";"29";
"3";"11";"32";
"3";"48";"76";
"3";"49";"172";
"3";"54";"177";
"3";"66";"2417";
"3";"67";"2418";
"3";"69";"2420";
"3";"85";"2466";
"3";"89";"2471";
"3";"91";"2473";
"3";"95";"2476";
"3";"98";"2479";
"3";"99";"59182";
"3";"100";"59183";
"3";"101";"18517";
"3";"102";"18521";
"5";"99";"59214";
"5";"100";"59215";
"7";"1";"12487";
"7";"8";"25";
"7";"9";"27";
"7";"10";"30";
"7";"11";"32";
"7";"13";"40";
"7";"18";"50";
"7";"21";"56";
"7";"36";"92";
"7";"39";"79";
"7";"45";"98";
"7";"48";"76";
"7";"49";"13280";
"7";"54";"177";
"7";"60";"2411";
"7";"62";"2413";
"7";"64";"2415";
"7";"66";"2417";
"7";"74";"2427";
"7";"85";"2466";
"7";"86";"2468";
"7";"101";"18518";
"8";"8";"26";
"8";"9";"28";
"8";"10";"30";
"8";"18";"50";
"8";"21";"56";
"8";"32";"87";
"8";"36";"92";
"8";"46";"99";
"8";"48";"75";
"8";"60";"2411";
"8";"85";"2466";
"8";"86";"2468";
"8";"99";"53944";
"8";"100";"53945";
"9";"66";"2417";
"9";"82";"2465";
"9";"83";"2464";
"9";"86";"2468";
"9";"88";"2469";
"9";"90";"2470";
"9";"91";"2473";
"9";"99";"57013";
"9";"100";"57014";
"10";"8";"25";
"10";"9";"27";
"10";"10";"30";
"10";"13";"40";
"10";"14";"42";
"10";"16";"46";
"10";"17";"48";
"10";"21";"56";
"10";"32";"87";
"10";"36";"92";
"10";"39";"79";
"10";"41";"94";
"10";"47";"77";
"10";"48";"75";
"10";"66";"2417";
"10";"73";"2428";
"10";"75";"2425";
"10";"82";"2465";
"10";"83";"2464";
"10";"88";"2469";
"10";"90";"2470";
"10";"95";"2476";
"10";"99";"15828";
"10";"100";"15829";
"11";"1";"18861";
"11";"8";"25";
"11";"9";"27";
"11";"10";"30";
"11";"13";"40";
"11";"14";"42";
"11";"17";"48";
"11";"19";"52";
"11";"21";"56";
"11";"32";"87";
"11";"36";"92";
"11";"39";"79";
"11";"41";"94";
"11";"47";"77";
"11";"48";"74";
"11";"49";"23699";
"11";"54";"177";
"11";"66";"2417";
"11";"67";"2418";
"11";"69";"2420";
"11";"73";"2428";
"11";"75";"2425";
"11";"76";"2424";
"11";"82";"2465";
"11";"83";"2464";
"11";"85";"2466";
"11";"88";"2469";
"11";"89";"2471";
"11";"90";"2470";
"11";"95";"2476";
"11";"99";"32677";
"11";"100";"32678";
"11";"101";"22390";
"13";"8";"25";
"13";"9";"27";
"13";"10";"30";
"13";"13";"40";
"13";"14";"42";
"13";"16";"46";
"13";"21";"56";
"13";"32";"87";
"13";"36";"92";
"13";"39";"79";
"13";"47";"77";
"13";"48";"75";
"13";"66";"2417";
"13";"73";"2428";
"13";"75";"2425";
"13";"76";"2424";
"13";"82";"2465";
"13";"83";"2464";
"13";"88";"2469";
"13";"89";"2471";
"13";"90";"2470";
"13";"99";"51412";
"13";"100";"51413";
"14";"8";"25";
"14";"9";"27";
"14";"10";"30";
"14";"11";"32";
"14";"13";"40";
"14";"14";"42";
"14";"16";"46";
"14";"17";"48";
"14";"21";"56";
"14";"32";"87";
"14";"39";"79";
"14";"41";"94";
"14";"47";"77";
"14";"48";"75";
"14";"66";"2417";
"14";"73";"2428";
"14";"75";"2425";
"14";"76";"2424";
"14";"82";"2465";
"14";"83";"2464";
"14";"85";"2466";
"14";"88";"2469";
"14";"89";"2471";
"14";"90";"2470";
"14";"99";"26124";
"14";"100";"26125";
"15";"1";"13121";
"15";"49";"117";
"15";"54";"177";
"15";"66";"2417";
"15";"73";"2428";
"15";"75";"2425";
"15";"76";"2424";
"15";"82";"2465";
"15";"83";"2464";
"15";"88";"2469";
"15";"89";"2471";
"15";"90";"2470";
"15";"99";"55778";
"15";"100";"55779";
"15";"101";"18518";
"15";"102";"18522";
"16";"1";"134";
"16";"8";"25";
"16";"11";"32";
"16";"13";"40";
"16";"32";"87";
"16";"41";"94";
"16";"54";"176";
"16";"66";"2417";
"16";"73";"2428";
"16";"75";"2425";
"16";"76";"2424";
"16";"82";"2465";
"16";"83";"2464";
"16";"85";"2466";
"16";"88";"2469";
"16";"89";"2471";
"16";"90";"2470";
"16";"99";"57045";
"16";"100";"57046";
"18";"8";"25";
"18";"9";"27";
"18";"10";"30";
"18";"13";"40";
"18";"14";"42";
"18";"17";"48";
"18";"19";"52";
"18";"21";"56";
"18";"36";"92";
"18";"39";"79";
"18";"47";"77";
"18";"48";"74";
"18";"66";"2417";
"18";"67";"2418";
"18";"73";"2428";
"18";"75";"2425";
"18";"76";"2424";
"18";"82";"2465";
"18";"83";"2464";
"18";"86";"2468";
"18";"88";"2469";
"18";"89";"2471";
"18";"90";"2470";
"18";"95";"2476";
"18";"99";"47043";
"18";"100";"47044";
"19";"1";"134";
"19";"8";"25";
"19";"9";"27";
"19";"10";"30";
"19";"11";"32";
"19";"13";"40";
"19";"14";"42";
"19";"16";"46";
"19";"17";"48";
"19";"19";"52";
"19";"21";"56";
"19";"32";"87";
"19";"36";"92";
"19";"39";"79";
"19";"41";"94";
"19";"46";"99";
"19";"47";"77";
"19";"48";"75";
"19";"49";"133";
"19";"54";"177";
"19";"59";"2410";
"19";"66";"2417";
"19";"73";"2428";
"19";"75";"2425";
"19";"76";"2424";
"19";"82";"2465";
"19";"83";"2464";
"19";"85";"2466";
"19";"86";"2468";
"19";"88";"2469";
"19";"89";"2471";
"19";"90";"2470";
"19";"99";"38153";
"19";"100";"38154";
"21";"8";"25";
"21";"9";"27";
"21";"10";"30";
"21";"13";"40";
"21";"14";"42";
"21";"16";"46";
"21";"17";"48";
"21";"21";"56";
"21";"32";"87";
"21";"36";"92";
"21";"39";"79";
"21";"41";"94";
"21";"47";"77";
"21";"48";"75";
"21";"66";"2417";
"21";"73";"2428";
"21";"75";"2425";
"21";"76";"2424";
